customer_state,num_orders,total_revenue,avg_order_value
Amnat Charoen,1908,275880.2,144.5912997903564
Ang Thong,205,27609.65,134.68121951219513
Bangkok,440,59155.37,134.44402272727274
Bueng Kan,1780,254080.6,142.74191011235956
Buri Ram,3469,463640.14,133.65238973767657
Chachoengsao,3564,504152.11,141.4568209876543
Chai Nat,142,15901.6,111.9830985915493
Chaiyaphum,2281,305243.2,133.8199035510741
Chanthaburi,1095,148359.01,135.48768036529682
Chiang Mai,2885,390344.8,135.3014904679376
Chon Buri,1566,221045.05,141.15265006385695
Chumphon,1350,182482.75,135.1724074074074
Kalasin,3669,503310.87,137.17930498773507
Kamphaeng Phet,1201,163867.22,136.44231473771856
Kanchanaburi,354,46753.020000000004,132.0706779661017
Khon Kaen,1406,201521.5,143.3296586059744
Krabi,699,104707.99,149.7968383404864
Lampang,1162,149016.99,128.24181583476764
Lamphun,1087,157663.33,145.04446182152714
Loei,342,54473.659999999996,159.27970760233916
Lop Buri,562,78690.19,140.01813167259786
Maha Sarakham,4133,563475.13,136.33562303411566
Mukdahan,1955,270797.35,138.51526854219946
Nakhon Nayok,1557,216612.74,139.1218625561978
Nakhon Pathom,979,139164.69,142.14983656792646
Nakhon Phanom,3940,536868.21,136.26096700507614
Nakhon Ratchasima,5511,755149.76,137.0259045545273
Nakhon Sawan,962,135267.13,140.61032224532224
Nakhon Si Thammarat,760,99198.25,130.52401315789473
Narathiwat,434,62711.37,144.49624423963135
Nong Khai,281,37182.18,132.3209252669039
Nonthaburi,638,82077.1,128.64749216300942
Pathum Thani,347,55336.46,159.47106628242074
Pattani,1962,274294.68,139.80360856269112
Phangnga,286,36146.69,126.38702797202798
Phatthalung,420,53596.1,127.6097619047619
Phetchaburi,603,86949.58,144.19499170812603
Phra Nakhon Si Ayutthaya,319,40586.63,127.23081504702193
Phrae,842,115650.92,137.35263657957245
Phuket,240,33334.33,138.89304166666668
Prachin Buri,2195,299646.67,136.51328929384965
Prachuap Khiri Khan,909,134115.06,147.5413201320132
Ranong,478,60421.12,126.40401673640167
Ratchaburi,874,116888.28,133.73945080091534
Rayong,770,117197.71,152.20481818181818
Roi Et,6140,866737.41,141.16244462540718
Sa Kaeo,1837,246082.33000000002,133.95880783886773
Sakon Nakhon,4977,682149.44,137.0603656821378
Samut Prakan,709,93822.68,132.33100141043724
Samut Sakhon,346,46804.41,135.2728612716763
Samut Songkhram,924,127020.52,137.46809523809523
Saraburi,407,53395.87,131.1937837837838
Satun,352,45039.91,127.95428977272728
Si Sa Ket,4773,654661.81,137.15939870102662
Sing Buri,293,40968.01,139.82255972696245
Songkhla,632,85958.26,136.00990506329114
Sukhothai,355,56525.23,159.226
Suphan Buri,370,49672.56,134.25016216216216
Surat Thani,278,35502.18,127.70568345323741
Surin,3448,465373.28,134.9690487238979
Tak,661,101608.78,153.71978819969743
Trang,286,35647.51,124.64164335664336
Trat,1164,170968.72,146.88034364261168
Ubon Ratchathani,4024,550995.62,136.92734095427434
Udon Thani,398,52071.52,130.8329648241206
Uthai Thani,915,120663.25,131.8724043715847
Uttaradit,762,101594.36,133.32593175853017
Yala,76,9258.62,121.82394736842106
Yasothon,1977,268554.03,135.83916540212445
